Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail,A1-PP7,A1-PP30
AAR,,,16187.5,315,16500,489,16,15000,26,14900,70,14900,566,,,0,20000,,,0,,,0,15786.66992,346,16000,1646,5,15000,81,6765.330078,3,16200,3,,,0,14800,141,14800,141,,,0,15982.536,15902.32301
ABH,,,52042.32031,40,54700,874,100,43800,625,45500,13,51700,764,258,45500,271,46000,,,0,,,0,49000,172,49000,919,149,46000,1194,24074.48047,5,60000,5,,,0,52550,34,52600,496,273,30100,323,51738.85785,51694.85164
ACS,,,150000,20,250000,20,1,130000,29,150000,9,150000,10,1,140000,1,74556.70313,,,0,,,0,150000,2,140000,10,1,130000,1,74556.70313,,,0,,,0,180000,,,0,,,0,148750,145250
ADE,,,49000,34,49000,1411,24,46500,546,46000,25,49700,485,47,46000,483,43000,,,0,,,0,47600,4,47600,917,43,45000,489,21210.50977,7,60000,7,,,0,49100,6,49100,548,77,32400,261,49408.11044,49356.56146
ADR,70000,,80000,10,90000,10,8,81000,108,71000,35,100000,36,100,70000,100,60000,,,0,,,0,70000,10,150000,10,10,80000,120,29108.7793,,,0,,,0,78000,53,78000,53,100,70000,100,80000,78416.669
ADS,,,114000,1,114000,363,5,90000,27,115000,10,115000,153,,,0,250000,,,0,,,0,117423.2188,135,120000,395,2,113000,44,55055.92188,1,128000,1,,,0,119000,4,119000,258,3,90000,16,109485.766,112747.4868
AEF,,,5800,1038,5800,1628,85,4600,583,4000,1163,4000,3484,167,3710,859,4000,,,0,,,0,4800,35,4800,2247,14,3720,1048,4500,69,4000,266,,,0,42963.32813,,,0,13,3040,213,5276.19048,5071.598965
AEN,,,2000000,,,0,,,0,1500000,,,0,1,1000000,1,974291.3125,,,0,1,1000000,1,2500000,,,0,2,989000,2,974291.3125,,,0,,,0,974291.3125,,,0,,,0,2000000,2000000
AFP,,,134241.8438,,,0,,,0,134241.8438,,,0,,,0,134241.8438,,,0,,,0,30000,,,0,,,0,134241.8438,,,0,,,0,134241.8438,,,0,,,0,134241.84,134241.84
AFR,,,19000,16,40000,16,37,16000,37,19000,,,0,20,16000,20,7797.120117,,,0,,,0,18000,5,20000,11,49,18000,67,7797.120117,,,0,,,0,20000,,,0,,,0,19000,18424.68077
AGS,,,400000,,,0,2,250000,2,400000,7,600000,7,,,0,500000,,,0,,,0,551241.5,10,600000,10,1,450000,1,219398.5,,,0,,,0,700000,2,799000,3,,,0,400000,400000
AHP,,,8600,320,8400,3813,376,6000,376,12000,100,12000,143,,,0,5547.209961,,,0,,,0,11900,300,11100,1586,100,8500,300,5547.209961,,,0,,,0,14500,10,17700,37,20,9000,20,8600,8716.823434
AIR,200000,,200000,15,201000,19,100,200000,100,200000,1,221000,1,100,200000,100,90993.92188,,,0,,,0,200000,3,210000,13,100,200000,100,90993.92188,,,0,,,0,200000,4,250000,4,100,200000,100,200018.663,200021.2811
AL,,,1110,994,1150,66515,1343,1110,40537,1180,100,1170,29798,30,970,6764,1250,179,1250,179,901,950,903,1185.859985,1814,1360,32654,279,1180,22455,750,213,1000,253,,,0,1066.219971,1000,1100,16975,121,1060,8138,1128.639367,1177.84088
ALE,,,1300,1583,1300,20720,30,1260,12654,1490,936,1490,12605,100,1200,3484,1300,100,1500,100,,,0,1464,1693,1470,11664,200,1260,6518,1000,13,1000,1126,,,0,1280,7,1280,15080,60,1200,5743,1306.559893,1325.811035
ALG,,,321,980,321,22688,1300,312,27249,311,2150,315,11284,1317,311,26618,250,,,0,,,0,367.4599915,111,368,34380,4629,350,5551,100,,,0,1000,200,1000,305,442,305,24395,5000,250,18378,301.6579833,324.4192672
ALO,42,,220,1349,220,65070,1287,181,36249,255,1471,255,39067,17,226,12506,200,888,400,888,,,0,319,1723,319,46883,193,278,17473,250,,,0,1000,250,4000,260,729,260,22774,330,220,7038,201.7354837,238.6831756
AMM,61,,143.1300049,28,144,22979,1000,112,11538,130,6819,130,100157,94,120,40365,90,611,100,1989,50,95,50,96.19999695,5780,105,169560,2000,96.09999847,74975,90,500,100,3773,2227,90,2227,108,416,114,44943,684,108,24616,142.7245298,140.3425985
ANZ,,,70600.54688,,,0,,,0,70600.54688,,,0,,,0,70600.54688,,,0,,,0,70600.54688,,,0,,,0,70600.54688,,,0,,,0,70600.54688,,,0,,,0,70600.55,70600.55
APT,,,14000,173,14000,1062,40,12000,40,15000,,,0,,,0,6935.350098,,,0,,,0,22000,,,0,50,12000,50,6935.350098,,,0,,,0,50000,1,50000,1,,,0,13360.05435,13003.23409
AR,,,138.2100067,100,140,33529,20000,106,51163,158,4078,158,94515,1000,140,29268,200,,,0,300,200,1300,200,901,200,32258,2000,165,14100,400,200,270,200,,,0,200,2000,240,16139,42,180,2576,145.9598398,156.5595262
ARP,,,10000,43,10000,121,,,0,8500,,,0,,,0,4639.379883,,,0,,,0,8500,99,8500,102,,,0,4639.379883,,,0,,,0,4639.379883,,,0,,,0,10000,10000
ASE,,,42500,49,42500,465,21,40200,526,42900,44,42900,291,42,31500,44,42000,,,0,10,33000,10,38600,250,38600,1387,260,36000,721,19526.61914,10,48000,10,,,0,40362.5,4,40400,665,80,32600,80,47186.08298,43899.74865
AST,,,2250,83,2600,2421,354,2250,2614,2700,14,2300,658,100,2000,101,1626.449951,100,10000,100,,,0,2890,1234,2890,5608,2,1000,2,2000,,,0,,,0,2000,602,2980,722,,,0,2316.834677,2444.080032
ATA,,,29400,76,29400,303,46,25000,46,28735,1,28800,383,51,25500,66,1600,,,0,,,0,27400,6,30000,593,241,27400,638,15767.91016,10,38000,10,,,0,28700,13,28700,212,26,26000,156,28938.93103,27046.60529
ATP,,,9000,,,0,196,9000,196,30000,,,0,,,0,12361,,,0,,,0,25000,16,35000,16,,,0,12361,,,0,,,0,25000,,,0,,,0,9000,12300
AU,,,2900,9,2900,7071,98,2110,752,2000,95,2000,1212,100,1590,1537,950,,,0,,,0,1720,5,2190,8398,68,1720,1023,998,20,1200,71,,,0,961,155,1800,3659,50,1000,858,2997.598271,2783.371776
AUO,137,,600,174,900,16762,350,401,3994,500,200,589,3284,8,500,2481,225,,,0,900,225,900,470,349,470,15370,900,381,24133,270,51,270,51,,,0,301,458,550,1483,1670,301,2497,500.1114296,591.9200581
AWF,,,5800,18,5800,198,100,5500,100,6000,48,6000,84,,,0,2940.560059,,,0,,,0,5950,29,6000,423,100,5000,200,2940.560059,5,5950,5,,,0,6000,7,6000,17,,,0,5800,5833.335
AWH,,,13500,29,25000,29,157,12000,257,12500,25,25000,25,,,0,8377.230469,,,0,,,0,20000,39,20000,63,50,10000,150,8377.230469,,,0,,,0,25000,10,24900,29,,,0,12460.84578,12307.66535
BAC,,,2090,96,2090,5186,250,1900,750,2100,622,2100,1300,,,0,1276.02002,,,0,,,0,1900,225,2100,5004,24,1810,1924,1276.02002,10,2250,10,,,0,2000,3000,2570,4162,200,2100,230,1965.324832,2140.154646
BAI,,,17000,1,18000,11,99,17000,568,16000,30,16000,30,2,5900,2,6790,,,0,,,0,16200,2,19900,69,21,16200,272,6790,,,0,,,0,12000,2,15000,2,,,0,16966.656,16815.97048
BBH,750,2550,2550,100,2550,880,695,2410,1678,2500,40,2540,597,40,2500,1276,2540,18,2500,349,28,1900,36,2550,100,2550,5447,53,2470,2329,2550,144,2550,144,69,1960,118,2550,100,2550,274,7,2500,849,2540.601921,2539.847707
BCO,,,798,70,798,1939,500,731,8270,845,543,845,2388,275,650,13859,660,,,0,,,0,751.3400269,2000,751,17895,1000,700,14400,640,200,747,200,,,0,680,153,650,7543,100,505,1100,759.3032439,766.4850496
BDE,850,2350,2350,100,2350,120,365,2300,2424,2250,100,2350,214,155,2250,1061,2300,26,2300,767,,,0,2350,100,2350,221,84,2190,1740,2300,68,2300,302,20,2000,24,2340,149,2340,565,19,2290,138,2345.004544,2342.496822
BE,,,1804.680054,156,1890,22248,309,1800,2509,1710,126,1900,3550,265,1710,885,2900,42,2900,142,,,0,1700,30,1700,33727,670,1510,4296,1700,18,1700,18,,,0,2050,160,1900,8776,,,0,1885.933651,2008.213108
BEA,84,,390,645,390,2334,9065,350,20080,332.6799927,334,390,11458,9341,320,25973,250,,,0,,,0,398,1912,398,21841,4088,390,6900,325,510,325,526,225,250,1225,346,280,349,28067,182,345,23177,373.6695285,385.8947945
BER,,,580,1695,580,29394,5000,505,10279,500,880,559,13448,1355,500,2662,500,,,0,,,0,534,2650,534,27074,500,395,11508,117.5500031,50,551,50,,,0,599,31,600,7377,200,450,3094,564.9631957,442.9116848
BFP,,,20000,,,0,,,0,25000,1,25000,1,,,0,20224.41992,,,0,,,0,24000,,,0,,,0,20224.41992,,,0,,,0,20224.41992,,,0,,,0,20000,20000
BFR,,,3500,17,6000,17,98,3500,98,6400,8,6400,8,12,4000,12,2515.219971,,,0,,,0,5000,,,0,41,4000,41,2515.219971,,,0,,,0,3000,214,4000,214,,,0,4437.5,3987.528393
BGC,,,679,900,678,19515,200,665,9067,700,2505,700,12235,20,650,2190,600,36,600,36,,,0,728,50,728,9767,300,610,14910,500,100,720,100,,,0,500,4064,666,4066,500,505,1053,679,671.2752268
BGO,,,2720,40,2790,11933,198,2720,1945,2964.639893,78,3000,527,100,2000,353,2000,,,0,,,0,2020,32,2170,3872,67,2020,2072,2300,50,2500,60,,,0,2203.340088,66,2490,887,26,2010,319,2819.664497,2709.013745
BGS,,,219000,1,219000,3,1,160000,1,199000,9,199000,9,,,0,87483.47656,,,0,,,0,198000,8,199000,18,,,0,87483.47656,,,0,,,0,199000,22,199000,51,1,1,1,219000,219208.335
BHP,,,3340,20,4480,1994,4,3340,793,3800,35,3800,1415,20,3210,554,1500,,,0,,,0,6130,34,6120,6315,200,3700,1333,4500,20,4410,65,,,0,3210,668,4450,2575,200,3200,399,4170.58038,4371.012664
BID,,,61000,90,110000,165,,,0,3000,10,100000,20,1,7400,1,24534.48047,,,0,,,0,75000,10,100000,20,,,0,24534.48047,,,0,,,0,24534.48047,10,100000,10,,,0,56781.25,56781.25
BL,,,9416.700195,12,8000,75,10,7000,312,8000,35,8000,153,100,5500,100,4500,,,0,,,0,9900,51,9900,250,100,6000,274,2975.580078,,,0,,,0,9500,79,9500,79,100,5500,100,7780.723636,7621.663923
BLE,,,2490,57,2500,1776,50,2000,250,2150,106,2150,2297,50,1750,850,1800.160034,,,0,,,0,2000,60,2200,1461,19,2000,419,1800.160034,,,0,,,0,1500,103,2400,819,255,1500,355,2490,2410.835
BMF,,,30000,8,30000,501,20,26000,190,37700,2,37600,116,2,30000,64,10932.17969,,,0,5,22000,5,31000,15,30500,380,5,27100,130,10932.17969,1,31000,1,,,0,30900,37,30900,47,50,25000,60,30523.71692,31769.44209
BND,,,200,3,200,4619,1000,190,1000,300,,,0,900,200,900,269.8999939,,,0,,,0,225,902,225,902,371,200,381,500,,,0,,,0,190,,,0,,,0,200,205.21
BOR,,,495,357,500,22124,920,302,6371,499,1000,550,6460,1000,332,1200,300,,,0,300,225,300,550,300,540,15927,726,430,3577,75,10,550,10,50,130,250,301,379,500,379,1000,302,1801,330.42,425.8340556
BOS,,,5539.680176,,,0,800,5600,1265,4300,,,0,,,0,3250,4,3250,4,,,0,5500,180,4990,1533,300,3810,1050,1907.819946,,,0,,,0,4300,979,4300,1177,6,4200,46,5380.686545,5380.686545
BPT,,,5000,28,5000,34,,,0,8000,,,0,,,0,2205.449951,,,0,,,0,11400,31,12000,31,90,11400,120,2205.449951,,,0,,,0,8000,,,0,,,0,10000,10000
BR1,,,940000,1,959000,10,5,600000,5,800000,7,946000,20,1,750000,2,1300000,,,0,,,0,839000,1,840000,10,1,500000,1,252956.6406,,,0,,,0,994000,3,990000,10,1,450000,2,940000,925032.292
BR2,,,900000,2,900000,5,,,0,945000,2,949000,11,,,0,1300000,,,0,,,0,900000,1,898000,13,1,800000,1,339977.9688,,,0,,,0,900000,3,900000,9,,,0,900000,899904.7629
BRM,,,185.6600037,585,210,9100,2682,171,4053,250,787,250,8653,247,120,671,270,3165,200,16907,1000,91,1000,249,56242,249,77430,1000,170,35240,200,87,250,287,,,0,208.3699951,1734,246,8297,1500,50,1500,208.6751491,187.8264856
BRO,,,2500,10,2440,3438,300,2010,450,1986.150024,186,2000,450,20,1810,148,829.9899902,7,2500,7,,,0,2390,6,2390,1046,300,1900,840,829.9899902,,,0,,,0,1890,24,2500,103,9,1000,9,2288.424679,2294.273768
BRP,,,5000,24,6000,24,30,4000,30,6000,6,6000,6,,,0,2656.76001,,,0,,,0,5500,1,5400,4,,,0,2656.76001,,,0,,,0,2656.76001,,,0,,,0,5000,5000
BRS,,,480000,1,480000,1,1,350000,5,420000,1,420000,2,1,200000,1,126513.0703,,,0,,,0,410000,1,410000,7,1,150000,1,126513.0703,,,0,,,0,450000,,,0,,,0,480000,466195.6525
BSC,,,51000,3,53100,23,8,51000,112,50000,32,150000,32,1,50000,6,14471.71973,,,0,,,0,50200,,,0,28,50200,154,14471.71973,1,52000,1,,,0,55000,39,55000,39,30,50100,43,53276.61965,52914.18136
BSE,425,1650,1640,110,1640,695,30,1550,7197,1600,100,1650,237,32,1600,1659,1600,,,0,12,1000,23,1650,100,1650,5887,6,1640,3965,1640,110,1640,279,50,1300,50,1560,3791,1640,6339,100,1560,2627,1637.914891,1641.911005
BTA,,,1570,1,1590,223,111,1490,1082,1580,32,1580,182,92,1400,905,1580,17,1580,534,,,0,1560,24,1560,468,69,1250,1053,1600,70,1600,470,50,1200,50,1521.25,35,1590,158,14,1510,351,1587.853694,1578.068726
BTS,,,455.75,1162,475,31720,1000,355,4447,494,11310,494,40532,2000,341,6000,100.3499985,,,0,,,0,396.75,2054,450,29726,393,300,2893,100.3499985,100,529,100,,,0,480,4516,480,9500,1000,404,1610,473.111775,414.6206978
BWH,,,9500,88,9500,128,,,0,5000,10,5000,10,,,0,3002.350098,,,0,,,0,3250,,,0,73,3250,73,3002.350098,,,0,,,0,4000,,,0,,,0,9500,9375
BWS,,,22000,4,22000,759,17,19100,257,23634.16016,44,23700,160,2,20000,2,30000,,,0,5,22000,5,21128.69922,9,22000,1043,10,20000,40,8590.129883,1,23000,1,,,0,23100,8,23100,128,,,0,22951.55316,23793.95627
C,225,,872,222,860,95487,1167,822,18845,830,535,830,33801,24,800,27549,1000,389,1000,881,500,601,1100,824,1200,899,95566,506,824,40073,750,17,750,252,,,0,792,700,792,54924,546,765,34335,862.2754278,857.7846785
CA,,,900,40,1190,140,330,200,330,552.4000244,49,777,432,620,405,898,101,,,0,,,0,1200,177,1200,183,1718,207,1918,991.1799927,15,1000,15,,,0,100,100,900,667,169,100,169,1029.349515,1029.579911
CAF,,,1450,12,1450,3037,178,1400,278,1530,33,1530,3117,40,1250,2977,1000,,,0,,,0,1473.680054,241,1580,7879,1000,1500,10204,776.2800293,,,0,500,1000,500,1660,800,1660,8257,400,1360,1987,1484.420143,1511.520557
CAP,,,176,359,200,359,618,176,618,175,2,250,670,,,0,141.9700012,,,0,,,0,275,1051,275,9146,1000,235,2000,141.9700012,100,250,100,,,0,300,77,250,2225,100,100,100,191.0862069,262.4814377
CBL,91000,,91363.07813,10,92000,20,20,91100,220,91000,4,92000,19,100,91000,100,88000,3,91000,3,,,0,91000,5,92000,62,50,91100,150,43652.07031,5,92000,5,,,0,91000,15,100000,17,100,91000,100,91240.24089,91168.17071
CBM,,,65000,,,0,10,63100,120,63000,,,0,100,63000,100,29521.83008,,,0,,,0,63000,10,70000,10,100,63000,100,29521.83008,5,69900,5,,,0,63000,,,0,100,63000,100,65000,64979.165
CBS,,,55000,15,55000,15,50,45000,235,42200.89844,6,45000,6,100,42000,100,17911.09961,5,50000,5,,,0,42000,58,43000,58,100,42000,100,17911.09961,10,43000,10,,,0,42000,15,43800,15,100,42000,100,55000,48173.91
CBU,,,380000,48,380000,51,10,350000,10,380000,45,380000,97,5,350000,5,173954.7188,,,0,,,0,370000,6,375000,108,10,360000,10,173954.7188,,,0,,,0,380000,50,380000,54,10,350000,10,380000,380000
CC,650000,,650000,1,2000000,1,100,650000,100,650000,1,700000,1,100,650000,100,330828.7188,,,0,,,0,650000,5,750000,5,100,650000,100,330828.7188,,,0,,,0,650000,,,0,100,650000,100,650000,650000
CCD,,,80000,,,0,100,80000,100,80000,114,80100,208,100,80000,100,27557.33984,,,0,,,0,80100,100,81000,369,131,80100,231,27557.33984,,,0,,,0,80100,5,84900,10,150,80100,250,80029.49427,80008.66064
CD,,,11000,11,11000,126,48,10000,48,12000,2,20000,2,,,0,7880.339844,,,0,,,0,13200,21,13000,54,10,12000,110,7880.339844,10,13200,10,,,0,13200,,,0,,,0,11000,11000
CF,,,6209.399902,156,7600,1429,64,6100,268,6800,15,6800,72,195,4600,199,5000,,,0,,,0,7150,90,7150,1867,58,6700,950,3393.100098,10,7850,10,,,0,6000,81,7840,388,100,3000,100,6043.755714,6983.314219
CHA,,,30000,,,0,7,30000,37,50000,1,50000,1,,,0,20987.94922,,,0,,,0,50000,,,0,20,45000,20,20987.94922,,,0,,,0,12500,,,0,,,0,30000,30000
CL,,,3400,335,3400,14474,834,3210,6714,3180,787,3190,26543,886,3050,6045,4000,126,4000,186,200,2310,380,3300,3890,3300,39811,300,2830,2375,3600,10,3500,41,,,0,3200,539,3200,6316,7,3050,1191,3446.351845,3143.172596
CLI,51,,78.01000214,1000,234,57455,74,53,174,200,428,200,29900,98,145,4299,250,180,250,180,400,170,2400,238,131,238,20900,1000,200,8752,375,123,375,131,,,0,150,949,220,14511,48,110,2001,83.16919732,234.0054891
COF,,,840,11045,840,69084,40,802,5947,829,16,829,39520,100,765,9333,1500,65,1500,65,500,700,500,760,1837,830,69968,998,760,10519,850,1860,850,2635,,,0,810,655,810,47503,360,730,18882,830.4823153,829.0384135
COM,,,118000,68,118000,120,5,100000,15,118000,66,118000,130,10,100000,37,250000,,,0,,,0,109513.2734,1,117000,87,5,101000,39,37311.39063,1,116000,1,,,0,118000,14,129000,20,5,100000,5,117000,117819.972
COT,,,3400,100,3390,2979,100,3120,2601,3455.560059,54,3600,606,202,3060,838,2700,7,3000,179,,,0,3000,6,4200,1489,300,2900,1395,4000,3,4000,3,,,0,3120,294,3120,3619,285,2930,525,3314.862566,3319.487634
CQL,,,1940000,1,1950000,2,,,0,1890000,1,1900000,2,,,0,1000000,,,0,,,0,1970000,1,1980000,10,,,0,634922,,,0,,,0,1370000,1,1980000,1,1,2,2,1940000,1745119.047
CQM,,,1220000,1,1230000,5,,,0,980000,1,1390000,2,1,1000000,1,875000,,,0,,,0,999000,1,1040000,4,1,650000,2,481565,,,0,,,0,1290000,1,1280000,3,,,0,1180000,1145160.985
CQS,,,898000,1,896000,7,,,0,1000000,1,840000,2,1,750000,3,800000,,,0,1,600000,1,839000,1,830000,11,,,0,378392,,,0,,,0,988000,1,830000,7,,,0,898000,883050
CQT,,,549000,1,450000,3,,,0,150000,1,320000,2,2,100000,2,250000,,,0,,,0,249622.6563,3,278000,5,4,100000,4,107709.6172,,,0,,,0,310000,1,500000,1,,,0,549000,534708.33
CRU,,,200000,2,800000,2,100,200000,100,200000,,,0,100,200000,100,139245.9375,,,0,,,0,700000,8,700000,8,100,200000,100,139245.9375,,,0,,,0,139245.9375,,,0,100,200000,100,200000,200000
CST,,,1450,35,4950,35,15,1450,15,2200,3,2290,271,,,0,2912.709961,,,0,,,0,2490,82,2480,95,,,0,2912.709961,,,0,,,0,1690,,,0,,,0,226.04,200.1363351
CTF,,,16000,228,16500,550,20,16300,60,22000,8,22000,8,5,14000,5,16000,,,0,9,16000,9,18000,294,18000,1168,100,15800,200,10081.88965,10,20500,10,,,0,16000,10,17000,10,48,16000,48,16328.1003,16428.923
CU,,,2084.169922,34,2090,14954,377,1900,4943,2590,69,2590,1386,25,2060,2262,1400,,,0,,,0,2100,60,2100,8008,8,1770,5788,560.7399902,10,2250,10,,,0,2145.73999,106,2150,1817,500,1720,936,2220.462141,2533.231864
CUO,63,,855.75,79,750,7888,250,461,4837,699.6099854,600,750,983,50,650,5134,425,,,0,100,164,600,750,136,700,2179,82,509,15240,250,1,250,1,,,0,301.5,748,400,2772,776,301,5737,858.3363402,861.4770305
DA,,,48000,15,49000,70,10,45000,132,30000,20,50000,20,10,45000,17,45000,,,0,,,0,59000,24,59000,39,10,50000,57,26101.83984,,,0,,,0,41800,10,55000,10,10,50000,10,48000,47151.00516
DCH,,,23000,10,24000,230,2,23000,142,19000,,,0,10,20000,10,8990.330078,,,0,,,0,23000,2,24000,2,10,23000,140,8990.330078,,,0,,,0,8990.330078,,,0,10,20000,10,23000,23312.5
DCL,,,7261.399902,250,6900,1000,100,5800,2116,7493,388,7500,643,90,2830,90,3482.080078,,,0,,,0,6890,76,6890,1031,100,5810,1250,3482.080078,10,6790,10,,,0,8000,10,7990,25,,,0,7241.850065,6693.233779
DCM,,,5000,206,5190,1049,86,5000,1811,3600,100,5990,206,100,3580,849,3500,,,0,,,0,4850,94,4850,2450,102,4330,2209,2230.159912,10,4900,10,,,0,4000,,,0,100,3510,200,5193.907968,4628.560364
DCS,,,1900,200,1950,1681,384,1900,3662,1890,341,1890,963,100,1450,2464,1500,,,0,,,0,1990,355,1990,3242,300,1770,3805,846.7299805,50,1840,50,,,0,3500,591,1800,830,200,1460,1104,1918.046911,1811.500255
DD,,,36000,1,40000,16,7,36000,7,44400,6,44400,6,,,0,25000,3,25000,4,,,0,40000,18,39000,28,1,36000,1,26608.73047,,,0,,,0,30000,,,0,,,0,36000,36000
DDT,,,2532.959961,40,2580,15007,200,2460,2143,2600,80,2590,4326,34,2100,4714,100,144,3500,495,,,0,2784.879883,73,2740,23660,1200,2400,2514,3500,20,2500,20,,,0,2480,2400,2900,7036,5,2150,3352,2521.42246,2547.384045
DEC,,,29900,166,29900,1128,10,17000,30,17000,19,17000,186,,,0,9362,,,0,,,0,16300,1,19400,737,3,16300,342,9362,,,0,,,0,12000,1,14000,38,,,0,29900,28533.96643
DIS,,,5700,75,5800,248,,,0,8750,1,8870,60,1,7700,1,5454.77002,17,9500,17,,,0,8890,20,8800,30,,,0,5454.77002,10,9000,10,,,0,6500,25,6500,25,,,0,5700,5660.415
DOU,,,250000,5,449000,7,,,0,101902.6328,2,449000,2,,,0,101902.6328,,,0,,,0,260000,4,260000,4,,,0,101902.6328,,,0,,,0,275000,,,0,,,0,250000,250000
DRF,,,5319.620117,8,6000,308,13,5310,1221,6000,90,6500,126,300,5500,322,3014.189941,,,0,,,0,6000,11,6280,33,247,6000,382,3014.189941,,,0,,,0,5400,,,0,100,5000,170,5482.41186,5390.785475
DV,,,14000,1,14000,19,1,13000,1,20000,1,14000,4,1,10000,1,15000,2,15000,2,,,0,14000,3,15000,94,3,14000,3,12317.79004,,,0,,,0,15000,,,0,,,0,14395.83,16187.5
DW,19,121,114,32442,114,436107,161,107,143971,115,1494,115,219231,46123,98.40000153,260928,110,3917,110,3917,20,100,10020,101,9697,104,634539,793,101,183505,100,11233,100,17977,2849,90,2849,101,321,101,156989,96,95,607199,112.288565,110.881049
EBU,,,190000,80,190000,80,2,160000,2,190000,45,190000,95,,,0,90493.82031,,,0,,,0,188000,2,188000,101,6,180000,6,90493.82031,,,0,,,0,90493.82031,50,190000,100,,,0,190000,190000
EDC,8000,,8000,294,8010,690,100,8000,100,8000,13,8100,119,100,8000,100,11000,2,11000,3,,,0,8020,1,9880,116,454,8020,654,8211.860352,,,0,,,0,8000,11,11200,11,100,8000,100,8000,8010.250032
EES,,,24000,80,55000,831,,,0,54947.73047,36,65000,56,48,24000,48,75000,2,75000,7,,,0,44000,10,43800,172,50,5000,50,48394.19922,,,0,,,0,68000,5,69600,14,,,0,24000,14750.385
ENG,,,1000000,,,0,1,850000,1,900000,5,1000000,10,,,0,365225.5625,,,0,,,0,1100000,1,900000,5,1,450000,2,365225.5625,,,0,,,0,1100000,,,0,1,1000000,2,1000000,1000000
EPO,,,155.5800018,21850,160,851696,25000,154,329940,175,67750,175,127750,6460,157,228360,175,,,0,,,0,160,51096,160,253096,65000,156,225400,170,590,170,12740,,,0,153.5599976,400,179,166814,13800,153,237800,162.5469986,157.4008306
ES,,,1420,4296,1420,10013,250,1200,250,1390,180,1390,32693,50,1230,201,1650,100,2000,100,,,0,1392.359985,189,1440,17693,245,1300,1485,1875.349976,20,1440,20,,,0,1650,238,1650,2862,100,1530,600,1420.346586,1381.284177
ETC,,,11000,13,24000,214,,,0,20000,,,0,1,20000,1,15000,62,15000,62,,,0,19000,7,18400,86,5,11000,5,10235.53027,,,0,,,0,17000,37,20000,37,8,8900,8,11000,11000
EXO,,,325,769,325,10837,500,321,13309,340,195,340,6391,10,257,13041,350,600,300,800,,,0,302,803,302,19965,6,296,17689,400,100,320,2465,,,0,315,44,315,22647,160,290,11065,361.7906353,339.7042278
F,,,3900,465,3900,465,100,353,300,1900,100,4400,500,11,1900,76,1000,,,0,,,0,2900,997,2900,3537,20,1610,220,222.2200012,1000,2900,1010,,,0,2300,50,2300,1642,50,2010,652,3900,3945.473871
FAL,,,2216.790039,144,2100,3048,500,1920,835,3000,188,4250,188,,,0,1025.390015,,,0,,,0,5000,1336,5000,1336,500,1600,1440,1025.390015,,,0,,,0,1250,42,2690,400,82,1000,82,2211.614679,2370.754686
FAN,,,2400,120,2350,1831,200,1910,781,2200,413,2200,1116,5,2100,5,971.9500122,,,0,,,0,1900,8,2220,1049,4,1900,530,1000,10,2250,10,,,0,2200,82,2200,82,,,0,2401.875,1918.830729
FC,,,4740,1364,4700,2128,75,3520,1172,4983.649902,4,5000,4,66,2000,66,2253.139893,,,0,,,0,5088.720215,97,5250,1228,17,5000,699,2253.139893,,,0,,,0,4200,3,4890,10,282,4200,282,4724.375,4914.382471
FE,,,1010,623,1010,15885,500,940,4452,847,201,847,9724,15,712,4290,500,,,0,,,0,810,63,938,20741,50,811,5807,650,174,650,294,,,0,985,100,980,333,300,841,1325,980.6653572,990.0639984
