Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail,A1-PP7,A1-PP30
O,32,,93,3703,93,255065,367,86,87100,97.40000153,41,97.40000153,41434,550,70.09999847,39932,100,1117,100,2287,3802,83,5802,85.06999969,30,89.40000153,499231,1000,82.09999847,52252,75,200,85,11170,2037,75,2037,92.80000305,80,92.80000305,228769,156,84.5,55516,91.51624852,83.56397483
OFF,,,95,11348,95,56710,1000,90.19999695,34230,88.80000305,1750,94,17244,1000,76,10580,120,,,0,,,0,90.90000153,600,90,65389,40,85,25331,100,350,90,1700,,,0,90,43381,90,92551,4900,75.19999695,38476,98.18316801,88.39714119
OLF,,,1492.25,750,2500,750,500,1200,3866,1000,296,2000,296,1000,1200,1000,949.4799805,,,0,,,0,2000,70,2000,70,500,1100,994,949.4799805,,,0,,,0,1100,,,0,493,1100,1025,1345.205,1246.270936
OS,,,45625,1,46900,500,10,44000,22,50000,10,45000,31,1,42000,1,45000,,,0,,,0,45000,3,45000,227,5,41000,25,30207.76953,,,0,,,0,55000,,,0,,,0,45054.16667,45178.22581
OVE,40,153,148,10471,148,26488,17,130,21173,140,144,140,24833,200,132,90465,125,4985,125,4985,6,110,1254,152,311,152,5411,950,146,38050,130,400,130,8932,100,120,100,150,7517,150,8931,730,105,46626,148.7633199,150.2982098
PBU,,,17500,43,17500,143,20,17000,105,17700,2,17700,211,25,17000,80,8070.330078,,,0,,,0,20000,18,18300,283,16,17500,106,8070.330078,,,0,5,10000,5,16066.54004,39,17500,186,20,15500,30,17500,17495.98701
PCB,,,2700,25,2740,3683,90,2700,6138,2647.040039,15,2700,1916,1000,2500,4078,2300,,,0,,,0,3122.459961,250,3200,2179,300,2710,3831,801.710022,30,3390,30,,,0,3830,90,2990,3121,40,2600,1271,2731.991041,2832.230429
PDA,,,2350,324,2350,4080,100,2200,100,2590,13,2590,1721,1,2000,103,3000,62,3000,62,50,2200,50,2340,90,2340,3861,100,2000,500,6000,50,2400,359,,,0,2590,112,2590,1317,100,2000,200,2350,2345.89392
PE,,,12.10000038,48233,12.10000038,808833,100000,10.19999981,399500,9.960000038,800,10,1397596,7823,9.75,1716039,12,7616,12,10898,,,0,10.05000019,100000,11.19999981,4097404,100000,10.10000038,2642239,8.5,6000,10.5,22700,,,0,10.5,17399,10.5,1520587,26404,9.020000458,458551,11.41221832,10.62990983
PFE,,,899.7800293,2860,900,3700,287,440,3927,997,20,989,819,940,445,940,700,500,800,1000,,,0,899,109,1090,3588,,,0,500,20,899,20,309,500,309,660,,,0,40,660,3900,892.85125,886.7678723
PG,,,47.90000153,80934,47.90000153,2072772,2000,45,279260,50,10000,48.20000076,162973,1000,43.59999847,129220,55,4082,55,4082,,,0,47.09999847,15479,47.09999847,637332,1500,44.29999924,705921,45,1650,40,1663,,,0,39,8900,41,209668,10000,38.90000153,163445,47.53028502,46.96347453
PIB,,,700,1774,700,2274,80,400,85,700,503,700,703,5,500,429,548.4000244,2000,700,2000,,,0,977.3400269,2090,700,2847,100,150,100,548.4000244,,,0,,,0,669,35,669,1577,50,100,50,700,686.9029045
PK,,,450,70,475,2318,1750,450,1750,999,435,999,1789,,,0,832.2700195,,,0,,,0,1000,500,600,933,1000,450,1000,832.2700195,,,0,,,0,1000,80,1750,318,,,0,470.31,538.4671429
POW,6000,,13100,260,13300,574,176,13100,709,13000,350,13000,350,10,9000,210,9500,,,0,,,0,13930,155,14000,355,200,13100,1001,2358.169922,10,15400,10,,,0,14000,17,14000,17,90,10100,211,13216.56431,12881.2778
PPA,,,350,268,380,961,203,350,10027,299,268,299,1063,,,0,300,,,0,,,0,339.9599915,812,380,8852,650,300,1459,100,,,0,1000,220,1000,190,180,300,888,2513,190,2513,355.0639768,378.7190238
PSH,,,8000,35,10000,4563,4,8000,1104,8000,73,8000,287,,,0,3810.209961,,,0,,,0,8900,46,8900,10073,200,7000,200,3810.209961,32,13000,32,,,0,9500,36,9500,65,499,7000,499,8000,7492.356982
PSL,,,3980,13,3980,2171,12,3760,647,5000,176,5000,576,24,4500,501,4500,,,0,,,0,4056.370117,77,4060,4265,12,3920,2090,4000,20,4130,120,,,0,4090,14,4090,1222,24,3500,450,3953.820911,3920.157481
PSM,,,2490,76,2490,2358,200,2320,2428,2633.100098,17,2700,1427,56,2380,128,2500,,,0,,,0,2418.72998,86,2490,3991,63,2300,1266,1299.199951,35,3000,35,,,0,2990,100,2880,458,200,1220,300,2430.572484,2238.734508
PSS,,,1100,200,1200,4156,80,1100,1909,1367.369995,136,1390,161,251,1020,1245,450,,,0,,,0,1250,300,1250,7465,8,1210,1904,649.5999756,100,1600,100,,,0,1390,120,1380,816,1000,1000,1549,1132.813642,1132.636429
PT,,,540,799,540,13663,250,475,2300,498,1,497,8374,16,490,5136,480,1498,480,2419,,,0,497,214,497,36162,150,457,6279,450,57,450,697,,,0,467.269989,278,490,38084,1000,435,9261,550.2181603,555.104715
PWO,,,353,4160,353,26832,25,328,4758,377,56,377,5204,10,330,8178,290,696,290,4876,,,0,420,1051,420,5551,170,402,10151,360,1200,350,5368,50,300,150,340,106,340,10869,200,318,30435,350.0786185,356.4856731
QCR,,,1340000,3,1300000,8,1,700000,1,1000000,1,1500000,1,1,750000,1,850000,,,0,,,0,1200000,1,1200000,4,1,750000,1,363299.75,,,0,,,0,1300000,1,1300000,2,1,500000,1,1286875,1278541.666
RAD,,,16000,50,25000,50,17,16000,598,16500,60,16500,60,25,14100,56,3698.620117,,,0,,,0,15000,350,16700,850,25,14100,341,3698.620117,10,14500,10,,,0,13000,64,19000,64,,,0,15166.67,15141.97815
RAG,,,550000,1,550000,3,,,0,600000,,,0,,,0,258128.5156,,,0,,,0,658753,1,750000,1,1,500000,1,258128.5156,,,0,,,0,580000,,,0,,,0,550000,550000
RAM,,,3390,12,3380,1436,82,2500,582,2500,6,2700,730,1,2000,21,1237.089966,,,0,,,0,2550,64,2900,1349,100,2550,400,1600,10,3000,10,,,0,2890,578,2890,1190,,,0,3390,3188.714286
RAT,32,166,166,100,166,7133,21520,161,350787,160,600,159,94383,15,158,391258,166,3938,166,3938,9990,145,15091,160,104,160,186364,20,156,614698,159,3978,159,10177,1716,145,4675,155,705,155,622812,185968,153,750835,165.0812178,165.0100958
RBH,,,14535,520,16000,1896,481,14500,1731,17800,10,17800,388,3,16500,458,19500,1,19500,11,,,0,17500,427,17500,2055,25,16000,1228,7924.009766,40,25000,40,,,0,21000,26,20900,704,500,14500,700,18543.11522,20136.65156
RCO,400,,1100,130,1180,9734,388,1100,1756,1210,249,1300,2264,14,1210,3761,600,,,0,,,0,1530,53,1530,4769,8,1200,2278,1400,54,1400,87,967,900,967,1160,14,1500,308,410,1160,2731,1199.235018,1329.975538
RCS,,,176868.2031,12,180000,12,1,120000,1,400000,1,400000,1,,,0,93545.60156,,,0,,,0,180000,,,0,,,0,93545.60156,,,0,,,0,210000,,,0,,,0,177763.078,181961.4373
RCT,,,1300000,,,0,,,0,1300000,,,0,1,750000,4,1000000,,,0,,,0,1000000,1,1100000,1,,,0,354702.8125,,,0,,,0,1400000,,,0,1,1000000,1,1228125,1220833.333
RDE,,,36770.82813,29,37500,29,22,28500,672,32000,24,32000,85,6,27000,256,32500,2,27000,22,,,0,31200,162,31200,560,56,27100,705,14309.62988,40,35000,40,,,0,35000,20,38000,20,12,28000,323,30471.07776,28427.61318
RDL,,,800000,,,0,1,800000,6,800000,,,0,1,800000,1,378604.3125,,,0,,,0,800000,,,0,1,800000,1,378604.3125,,,0,,,0,610000,,,0,,,0,800000,839322.9163
RDS,,,310000,,,0,,,0,310000,,,0,,,0,207901.1563,,,0,,,0,300000,,,0,1,350000,1,207901.1563,,,0,,,0,310000,,,0,,,0,310000,310000
REA,,,650,200,630,27975,1000,571,8272,667.5,427,850,4420,2000,575,3610,500,100,1000,117,14,500,14,793,498,750,8933,590,650,14524,300,,,0,,,0,599,646,579,11173,500,552,1852,624.2450799,616.4867776
RED,,,60000,8,70000,8,100,60000,100,60000,5,70000,5,100,60000,100,22634.32031,,,0,,,0,61000,9,61000,56,100,60000,100,22634.32031,,,0,,,0,60000,,,0,100,60000,100,60347.22208,60008.11425
REP,,,749,741,749,18160,200,730,7033,699,136,699,9906,3,612,972,700,10,690,1046,,,0,733,254,733,23084,1,712,6966,800,230,800,1230,50,600,50,749,334,749,15136,39,558,1122,747.3598251,742.4106869
RG,,,1272.650024,892,1300,2870,432,1200,5982,1020,164,1020,2935,40,780,1589,1200,,,0,,,0,1150,120,1150,25869,500,950,8000,816.0700073,10,900,10,,,0,1000,1383,1000,10496,500,900,700,1268.623382,1229.38316
RGO,,,2500,5,2490,92,315,1800,405,2390,70,2400,70,210,1220,1834,794.6500244,,,0,,,0,1800,7,2300,3136,95,1800,95,794.6500244,,,0,,,0,1990,61,2000,63,90,1000,90,2500,2080.779839
RHP,,,3400,1595,3400,2037,50,2500,5041,4670,27,4670,224,,,0,2691.98999,,,0,,,0,5000,20,4990,36,,,0,2691.98999,,,0,,,0,4990,40,4990,120,,,0,3400,3398.156066
ROM,,,4050,37,4050,1517,70,3920,507,4000,100,4500,600,10,4000,110,1901.540039,,,0,,,0,4026.179932,213,4190,2549,100,3800,600,1901.540039,10,4500,40,,,0,5000,500,4000,500,,,0,4017.211954,4227.892739
RSE,,,23400,7,23400,695,40,22100,821,24700,50,24900,661,50,22500,405,25000,2,25000,12,,,0,22100,44,25900,1002,300,22200,1164,11854.50977,20,29000,69,,,0,24300,7,24300,287,50,21800,518,25042.96456,26500.04444
RSH,,,25000,100,37900,1852,363,25000,363,25000,5,27500,30,58,25000,58,17252.7207,,,0,,,0,25000,20,40000,4020,10,24500,10,17252.7207,38,40000,38,,,0,43000,18,39000,48,,,0,25000,25000
RSI,,,1200,23,1200,1555,20,600,157,900,245,900,824,10,805,36,681.4400024,,,0,,,0,1100,421,1100,6425,500,500,500,681.4400024,,,0,,,0,1000,385,1000,981,,,0,1200,1200
RTA,,,16800,103,16800,294,400,12500,534,16900,89,16900,405,100,10000,124,17300,4,17300,4,,,0,15000,109,16500,932,80,13300,25589,8976.769531,40,20000,40,,,0,16000,13,16000,93,14,14000,289,14571.14193,15332.41116
S,,,192,831,192,11240,59,176,1199,199,6,199,6436,400,106,2762,250,200,280,200,,,0,172,97,172,35643,136,131,6070,85.83999634,10,140,30,,,0,137.1000061,1126,147,7128,273,120,3733,187.0244997,186.6174023
SA,,,7200,,,0,26,7200,99,5600,1,7250,49,1,2900,1,3395,,,0,,,0,7800,5,7800,47,,,0,3395,,,0,,,0,10000,3,12500,3,,,0,7200,7477.293333
SAL,,,8200,14,8750,639,20,8200,586,7500,128,9800,300,10,7000,69,3395,,,0,,,0,9250,10,10000,113,15,9250,313,3395,,,0,,,0,6000,,,0,,,0,8387.609435,9119.432019
SAR,,,33500,10,33000,1410,30,31100,261,31500,250,33400,429,100,31000,241,9548.709961,,,0,,,0,33887.5,24,33000,366,30,31100,334,9548.709961,10,34000,10,,,0,35354.48828,54,36000,64,20,25000,30,33700.00184,33661.9155
SBU,,,31500,47,31500,147,2,31000,6,31500,25,31500,202,6,26000,6,14796.61035,,,0,,,0,31207.06055,11,31300,162,50,29500,53,14796.61035,,,0,5,20000,5,29000,50,31500,100,,,0,31500,30710.34264
SC,,,840,995,840,8059,1644,304,1644,886,172,886,4890,10,762,1723,1410,96,1410,196,100,800,100,680,169,885,13065,232,680,2906,1250,1,900,276,,,0,950,398,950,4313,50,806,1348,839.8638571,917.2057121
SCB,,,150000,1,150000,7,,,0,120000,1,50000,6,,,0,54548.37891,,,0,,,0,93400,2,84900,13,,,0,54548.37891,,,0,,,0,100000,,,0,,,0,150000,150000
SCN,,,2400,175,2400,2153,5,2020,415,2450,1183,2450,3514,100,2210,996,2500,340,2500,2333,,,0,2380,24,2380,5551,921,1930,2547,3000,1,2000,309,,,0,2450,917,2450,3685,500,1960,1100,2378.392462,2436.104292
SCR,82,,215,1145,220,6869,200,110,2300,87.76000214,124,150,3910,200,85,715,100,,,0,,,0,82.09999847,14,144,3233,918,82.09999847,1018,150,15,144,15,,,0,99,100,199,726,235,99,335,213.44,204.5099552
SDR,100000,,100000,16,101000,26,100,100000,100,100000,,,0,100,100000,100,37279.75,,,0,,,0,100000,,,0,100,100000,100,37279.75,,,0,,,0,100000,19,110000,19,100,100000,100,100000,100000
SEA,,,144,300,155,132513,16,144,116355,158,1073,158,7938,685,145,126709,120,,,0,,,0,172,13511,172,30643,130,156,109286,150,5000,175,5000,,,0,172.0500031,729,180,54444,61,146,101551,150.7656448,156.0435286
SEN,,,775,1220,815,14856,1000,780,11709,680,240,760,8744,210,680,710,1300,,,0,50,610,100,818,150,818,17465,3180,775,9890,282.6400146,50,830,50,,,0,779,121,779,3774,800,690,1471,784.9725118,797.3670233
SEQ,,,17000,,,0,10,25000,394,20000,,,0,10,16000,30,8084.299805,,,0,,,0,19289.4707,,,0,5,17000,56,8084.299805,,,0,,,0,21000,,,0,10,16000,30,17000,16927.08333
SF,6,18,16,63733,16,1753696,300,15.39999962,1050913,14,1851,14,1211175,4300,13.39999962,1520813,16,9540,16,98249,10000,14,11000,15.39999962,20961,15.39999962,3751987,192534,14.69999981,246757,16.32999992,24789,16.5,48426,20000,8,29890,15.69999981,12055,15.89999962,1828702,30000,15.60000038,342416,15.69788171,15.99833421
SFE,,,62364.85938,1,61900,34,2,51000,2,58000,43,58000,48,6,52000,16,25126.78906,,,0,,,0,57600.57813,1,57800,129,4,51000,5,25126.78906,,,0,,,0,57900,3,57900,57,10,50000,12,62317.75857,60771.97873
SFK,,,110.7300034,672,140,24766,10000,100,26932,139,200,149,2200,1500,102,21593,75,,,0,,,0,139,29228,140,109380,1977,139,95495,50,75,50,307,,,0,140,11090,140,28074,9639,139,46798,139.6408484,169.9192309
SFL,,,79393.75781,1,79000,3,,,0,135000,1,137000,41,,,0,30779.71094,,,0,,,0,97830.99219,1,99000,5,,,0,30779.71094,,,0,,,0,147000,3,134000,16,,,0,79043.0675,79034.454
SI,,,1900,685,1900,18200,227,1750,2949,1800,65,1810,6054,977,1720,2316,2100,,,0,,,0,1845.199951,11,1840,17762,916,1730,6023,950,21,1500,121,,,0,1650,69,1990,5801,800,1650,3319,1803.344115,1828.084931
SIL,,,2840,95,2840,644,,,0,600,632,1970,1657,18,600,18,2262.060059,4,10000,4,,,0,3500,189,3340,1945,,,0,2262.060059,10,3500,14,,,0,1982.829956,430,2620,755,,,0,2840,2296.25
SIO,,,65,446,97,38121,4436,65,4536,114,117,114,29510,50,103,21692,100,99,140,99,,,0,135,919,135,50835,678,115,17322,130,,,0,143,130,273,114,2938,130,8064,625,113,15289,97.10140306,119.3734229
SNM,,,98656.14844,1,110000,7,10,95000,30,100000,,,0,7,100000,7,76472.27344,,,0,,,0,100000,,,0,6,100000,33,76472.27344,,,0,,,0,76472.27344,20,109000,29,10,100000,11,100514.59,100514.59
SOI,,,720,200,720,13499,106,550,1601,526.8699951,200,610,1162,249,500,249,450,,,0,,,0,480.3399963,166,500,17823,52,455,5998,450,48,750,48,,,0,419,540,419,3541,7204,400,7742,678.2538361,623.0348104
SOL,,,1250,2216,1250,2816,500,1100,3800,1200,1932,1200,2326,194,1000,219,445.8999939,,,0,,,0,1200,200,1400,1144,500,1110,2916,445.8999939,20,1200,20,,,0,700,150,1150,328,74,700,74,1250,1038.859328
SP,2500,,2500,3356,2510,27880,100,2500,100,2500,38,2730,4340,100,2500,100,2900,12,2900,190,,,0,2570,110,2570,69263,1664,2500,1774,1500,100,2560,100,,,0,2750,390,2750,12702,100,2500,100,2500.709041,2504.289741
SRD,,,70000,3,98000,51,100,70000,100,60000,30,100000,30,100,70000,100,29443.7793,,,0,,,0,88000,1,87900,25,100,70000,100,29443.7793,,,0,,,0,70000,,,0,100,70000,100,70000,70000
SRP,,,9500,1000,9500,1871,100,4000,200,10000,43,10000,43,,,0,6950.529785,,,0,,,0,550,,,0,100,4000,1100,6950.529785,,,0,,,0,6950.529785,,,0,,,0,9500,9666.665
SSC,,,600,240,549,5560,100,516,2872,710,124,710,2354,20,500,2063,500,,,0,,,0,607,68,605,17306,100,510,6703,450,6,500,116,,,0,625,400,645,2197,100,510,3403,631.5717038,619.4646165
SSL,,,50000,23,50000,26,1,40000,1,48000,1,47900,17,,,0,18158.61914,,,0,,,0,46298.32031,19,47400,51,,,0,18158.61914,,,0,,,0,45000,29,45000,30,,,0,50000,49348.95833
STL,,,2090,24,2010,7599,35,1760,4127,1820,409,1820,2378,1,1710,1966,1600,,,0,,,0,1730,244,1730,24430,86,1650,8312,800,10,1900,10,,,0,1551.900024,392,1750,3185,30,1480,1607,1982.004029,1983.549389
STR,1750,,2000,39,2490,363,138,2000,1646,2503.909912,102,2900,131,100,1750,200,2350,1,2350,1,,,0,1900,38,2800,414,1,1900,225,2000,,,0,,,0,2900,73,1950,3264,100,1750,300,2000,2248.042182
STS,,,150000,19,150000,82,,,0,154000,4,154000,17,,,0,95518.15625,,,0,,,0,170000,13,170000,30,,,0,95518.15625,,,0,,,0,170000,3,170000,10,1,1,1,150000,150000
SU,,,175000,1,300000,1,5,120000,5,150000,1,199000,2,,,0,110719.9688,,,0,,,0,500000,5,300000,5,,,0,110719.9688,,,0,,,0,110719.9688,,,0,,,0,175000,175000
SUD,100000,,83500,,,0,10,101000,110,100000,,,0,100,100000,100,37925.10156,,,0,,,0,83000,,,0,100,100000,100,37925.10156,,,0,,,0,100000,,,0,100,100000,100,83500,83500
SUN,,,604.460022,1650,600,7128,65,530,1672,549,90,549,130,53,351,273,430,1282,430,1872,,,0,689,103,689,1521,20,600,13777,500,120,1000,120,,,0,559.3499756,9,585,1756,100,500,100,589.5942149,547.5247743
SWF,,,179.5700073,1000,200,72609,9595,180,9595,250,225,250,16813,1000,211,2037,80.22000122,,,0,,,0,255,1324,250,28736,1000,220,4000,110,100,240,100,,,0,390,2000,389,17619,1000,207,4100,204.0032081,257.0681559
TA,,,10111.36035,797,10500,1464,100,7600,162,9768.240234,6,9250,167,2,7500,14,6462.430176,,,0,50,8000,50,10200,95,10200,2213,113,9100,453,6462.430176,10,10400,10,,,0,9534.620117,99,9750,598,,,0,8566.676,10047.30682
TAC,,,91458.32813,2,600000,43,30,150000,30,500000,1,475000,1,,,0,91458.32813,,,0,,,0,550000,6,500000,6,,,0,91458.32813,,,0,,,0,91458.32813,,,0,,,0,91458.33,91458.33
TAI,,,600,124,600,198,400,500,1899,400,,,0,500,350,500,121.0100021,,,0,,,0,937.3900146,633,1000,8703,80,680,2518,121.0100021,20,812,20,,,0,800,,,0,240,550,440,600,493.3615978
TBU,,,58000,20,58000,120,20,55000,40,58000,50,58000,100,15,50000,30,22694.48047,,,0,,,0,57700,7,57600,145,20,50000,20,22694.48047,,,0,,,0,55000,50,58000,100,,,0,58000,58000
TC,,,7500,100,8400,637,373,7500,373,8800,37,8800,96,10,2250,36,3830.899902,,,0,,,0,7500,35,7500,370,,,0,3830.899902,10,7500,10,,,0,8750,21,8000,24,1,6500,116,7612.955,7694.733761
TCB,,,19000,2,19000,2,,,0,16800,1,15000,8,,,0,9647.730469,,,0,,,0,40000,1,49000,2,,,0,9647.730469,,,0,,,0,28000,,,0,,,0,19000,19000
TCL,,,3200,964,3000,3373,200,2700,2715,3050,120,3040,5425,1000,2570,2640,4000,12,3500,441,,,0,3220,470,3220,7337,200,2700,3165,1903.900024,20,3500,20,,,0,3100,68,3100,1158,300,2670,300,3042.002505,3101.123469
TCO,,,350,275,700,2565,258,350,324,1000,61,1000,301,128,136,219,120,101,120,535,,,0,500,306,600,416,694,500,694,130,25,130,585,,,0,400,49,450,234,1000,138,1000,364.0230769,396.0356436
TCS,,,3300,642,3300,2318,146,2220,146,3000,94,3000,1066,,,0,3600,47,3600,292,,,0,3000,237,3000,6749,34,2000,708,3500,10,2600,10,,,0,4000,1000,4000,1000,100,2000,100,3259.279013,2653.265341
TCU,,,80000,5,174000,13,2,80000,2,150000,1,250000,1,2,120000,2,69644.78906,,,0,,,0,199000,2,180000,2,1,90000,3,69644.78906,,,0,,,0,250000,2,249000,3,,,0,100138.89,100138.89
THF,,,449,100,439,9464,1000,405,9133,459,1192,459,12983,726,401,726,400,260,380,1100,,,0,445.8200073,200,446,32186,1000,415,11290,400,100,450,100,,,0,598.8699951,754,600,754,1000,400,2000,449.1208806,423.4291739
THP,,,4890,20,4890,150,100,4000,100,4690,58,4690,933,,,0,2398.5,,,0,,,0,5150,80,5100,1063,99,2300,99,2398.5,,,0,,,0,4520,20,4580,531,,,0,4890,4630.762
TI,,,1990,306,1990,11919,888,1690,18496,1650,80,2180,1493,1000,1220,3093,2900,200,2000,200,,,0,1810,26,2050,20124,778,1810,3589,2250,100,1700,100,,,0,2423.060059,200,2490,5904,1000,1710,2121,1996.006543,1870.441228
TIO,74,,265,2589,265,49479,15000,210,44977,225,248,225,727,10,200,898,330,,,0,,,0,144.8500061,500,205,51553,1356,120,1655,74.80999756,,,0,,,0,249,47,220,6649,5000,190,10123,231.2502664,242.8306202
TK,,,40000,1,45000,1,20,25100,320,25000,2,35000,27,,,0,20209.48047,,,0,,,0,30000,20,41100,182,20,30100,50,20209.48047,5,41100,5,,,0,39500,,,0,,,0,40000,40000
TPU,,,3200,24,3690,324,80,3200,1356,4000,100,3990,340,2,2300,2,1173.27002,,,0,,,0,4300,4,4300,338,200,3500,652,1000,5,4000,5,,,0,3990,527,3990,527,,,0,3443.75,3620.031018
TRA,,,1800,25,2000,3423,,,0,2500,10,2480,148,500,1700,500,838.6799927,,,0,,,0,1800,213,1950,1391,251,1800,501,838.6799927,10,2000,10,,,0,1800,31,2700,31,14,1800,14,1825.000315,1770.150555
TRN,,,482.9599915,462,480,40572,1000,470,21650,434,1745,434,6103,5,400,6418,600,,,0,,,0,428.7600098,788,440,44858,2000,396,15155,50,200,515,200,,,0,490,7976,490,20259,100,300,12054,493.2824446,418.0202736
TRU,,,456,589,570,5113,500,455,25492,525,339,525,5572,10,485,7305,800,,,0,4,800,4,530,414,530,23335,1000,516,12300,500,70,500,593,,,0,666,243,666,11968,2,580,6265,531.4804446,554.8899418
TS,,,599,938,599,5166,60,151,354,400,5,250,154,20,80.5,943,74.80999756,,,0,,,0,201.6900024,18,400,18,60,50,60,74.80999756,10,399,10,,,0,136.8899994,239,175,304,500,120,2300,563.58,412.1156757
TSH,,,30000,30,30000,6174,10,28300,22,30500,1,30500,211,15,28000,15,30000,94,30000,94,,,0,29900,47,29900,5399,120,24700,240,16479.69922,10,30000,18,,,0,30000,194,30000,194,30,24500,70,30180.19572,30049.92948
TUB,,,175.8300018,3857,175,27488,,,0,200,2000,296,12266,,,0,270,11,270,426,,,0,225,180,200,28499,340,183,16340,190,574,180,1014,,,0,243.6499939,520,245,71493,10000,100,10000,144.8849574,160.411354
UTS,3500,,5000,140,5000,369,4,4730,2229,4700,19,4700,73,100,3510,222,5400,10,5200,120,,,0,4200,68,4430,1407,226,4200,389,4640,6,4640,6,,,0,3520,200,6580,496,100,3510,204,4610.776907,4644.730318
VCB,,,400000,1,799000,3,,,0,970000,1,940000,3,,,0,327138.125,,,0,,,0,609000,1,800000,5,,,0,327138.125,,,0,,,0,869000,1,850000,3,,,0,400000,400000
VEG,88,,305,980,305,51273,2842,300,3308,290,705,340,2614,6711,290,7909,180,,,0,,,0,389,397,389,7238,250,371,16413,300,2750,375,2750,974,300,974,301,100,349,6360,9983,300,37647,306.0061826,319.4871206
VG,,,2500,24,2500,730,300,1660,3100,2390,26,2390,6971,300,1700,1103,3200,10,5000,10,,,0,2230,473,2230,3726,300,1920,2256,2000,20,2400,220,,,0,2530,37,2530,6556,200,1990,2402,2365.77345,2258.012317
VIT,,,559.1799927,1338,575,5123,100,500,540,765.2700195,30,783,33540,,,0,324.4700012,,,0,,,0,750,1252,750,1323,,,0,324.4700012,,,0,,,0,779,40,775,1774,,,0,563.28,717.304483
VSC,,,31000,4,31000,4,,,0,42000,,,0,,,0,16535.42969,,,0,,,0,25000,4,30000,4,,,0,16535.42969,,,0,,,0,16535.42969,,,0,,,0,31000,31000
W,,,10000,536,10000,1934,10,8400,302,7359.910156,100,12500,1834,50,7000,350,6243.660156,,,0,,,0,11500,14,11000,6282,100,9000,864,6243.660156,5,8900,5,10,8000,10,7000,17,10400,216,10,6000,20,9743.660541,9591.901455
WAI,,,91416.67188,20,99000,191,10,91000,183,108000,61,108000,72,73,92000,96,100000,50,100000,261,,,0,91000,8,91000,78,20,88100,146,51820.46094,,,0,,,0,93900,40,93900,40,20,80100,30,96660.11957,94491.9047
WAL,,,5600,357,5600,7514,1000,3010,1600,6500,44,6500,44,24,3000,74,2796.830078,,,0,,,0,3900,58,5600,6584,172,3900,672,2796.830078,,,0,,,0,6980,44,6980,1672,,,0,5421.852326,5468.766235
WCB,,,650000,2,698000,8,1,600000,8,650000,1,670000,2,,,0,328698.125,,,0,,,0,697000,1,697000,14,1,500000,2,328698.125,,,0,,,0,760000,1,768000,7,1,741000,2,642708.335,633564.8156
WIN,,,6000,585,6000,13463,500,5100,1175,6200,117,6200,1710,460,5500,460,10000,5,15000,13,,,0,6480,11,6480,7175,200,5800,2424,12000,2,6480,22,,,0,6000,39,6000,5189,500,5330,1610,5888.809145,5926.018613
WM,,,11438.95996,343,12000,743,9,11000,22,14700,31,14700,32,1,6000,1,6790,,,0,,,0,12600,10,11500,430,,,0,6790,,,0,,,0,9800,,,0,,,0,11642.49,12825.9331
WOR,,,150000,22,150000,23,,,0,100000,5,190000,5,,,0,83883.15625,,,0,,,0,160000,6,160000,6,,,0,83883.15625,,,0,,,0,135000,,,0,,,0,150000,150000
WR,,,140000,1,150000,2,5,141000,105,140000,,,0,100,140000,100,78076.21875,,,0,,,0,140000,2,150000,2,100,140000,100,78076.21875,,,0,,,0,140000,,,0,100,140000,100,140000,140000
WS,,,4700,100,4700,1954,11,4600,10311,4300,264,4300,1298,100,3000,10102,6000,4,6000,4,,,0,4730,56,4700,3384,50,4000,372,2593.969971,20,5000,80,,,0,5390,181,5390,1322,122,3510,128,4637.500123,4645.683494
ZIR,,,999,965,999,7771,500,550,3228,999,960,999,4202,20,500,20,117.5500031,,,0,,,0,648,635,4990,4635,1000,290,3788,117.5500031,20,648,20,,,0,977,601,998,1610,50,550,50,999,718.5884783
ZR,,,14500,40,14800,788,20,10000,20,15300,,,0,15,12000,114,5977.02002,,,0,,,0,15200,10,15000,199,75,10000,95,5977.02002,10,15200,10,,,0,10900,85,12200,655,,,0,14500,14223.68743